specimen	min_ma	max_ma
t279_1	0.18665875	0.55997625
t8_1	0.12521885	0.37565655
t203_1	0.04189575	0.12568725
t258_1	0.204921659714605	1.84003114028539
t258_2	0.03474075	0.10422225
t38_1	0.0144835	0.0434505
t169_1	0.2347733	0.7043199
t156_1	0.20414675	0.61244025
t57_1	0.2475249	0.7425747
t181_1	0.389405959714605	2.02451544028539
t185_1	0.06118395	0.18355185
t384_1	0.23089715	0.69269145
t74_1	0.1436968	0.4310904
t106_1	1.39954185971461	3.03465134028539
t184_1	2.29906745971461	3.93417694028539
t77_1	3.39404175971461	5.02915124028539
t445_1	4.10851595971461	5.74362544028539
t466_1	3.28965335971461	4.92476284028539
t469_1	3.00035325971461	4.63546274028539
t546_1	2.81662285971461	4.45173234028539
t562_1	2.39581805971461	4.03092754028539
t571_1	1.21557475971461	2.85068424028539
t588_1	1.16623805971461	2.80134754028539
t628_1	1.39412795971461	3.02923744028539
t650_1	1.81200785971461	3.44711734028539
t678_1	0.379381059714606	2.01449054028539
t689_1	0.654056159714605	2.28916564028539
t697_1	1.92068495971461	3.55579444028539
t732_1	1.20456775971461	2.83967724028539
t771_1	0.354049759714605	1.98915924028539
t777_1	0.19233405	0.57700215
t780_1	0.17272935	0.51818805
t786_1	0.0448353597146055	1.67994484028539
t794_1	0.23763685	0.71291055
t805_1	0.13059845	0.39179535
