specimen	min_ma	max_ma
t18_1	0.0523223	0.1569669
t299_1	0.4205803	1.2617409
t226_1	0.58512785	1.75538355
t184_1	0.78497575	2.35492725
t187_1	0.2364918	0.7094754
t41_1	0.200833	0.602499
t190_1	0.41965585	1.25896755
t242_1	0.90759145	2.72277435
t150_1	0.7786756	2.3360268
t421_1	0.230606419485317	4.57162658051468
t141_1	0.826720719485317	5.16774088051468
t390_1	7.95088381948532	12.2919039805147
t390_2	7.84793851948532	12.1889586805147
t432_1	19.5345907194853	23.8756108805147
t462_1	6.98552001948532	11.3265401805147
t475_1	5.28012181948532	9.62114198051468
t488_1	4.83925381948532	9.18027398051468
t498_1	3.24133831948532	7.58235848051468
t519_1	2.38080511948532	6.72182528051468
t527_1	2.49023531948532	6.83125548051468
t527_2	1.93560231948532	6.27662248051468
t529_1	2.14329331948532	6.48431348051468
t531_1	3.74698371948532	8.08800388051468
t535_1	3.08405811948532	7.42507828051468
t541_1	1.93315431948532	6.27417448051468
t548_1	1.02676041948532	5.36778058051468
t552_1	1.13303111948532	5.47405128051468
t593_1	0.636402419485317	4.97742258051468
t629_1	1.079909	3.239727
t717_1	0.67809075	2.03427225
t718_1	0.5118833	1.5356499
t723_1	0.9245565	2.7736695
t738_1	0.725197	2.175591
t752_1	0.42385005	1.27155015
t769_1	0.3641868	1.0925604
t777_1	0.0976697194853169	4.43868988051468
t819_1	0.49474135	1.48422405
t828_1	0.1396375	0.4189125
