Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites Excluding Ambiguous 18s,1,0,0,1,4.453488
Max GC 18s,0.43,0.57,0.86,0.43,0.2319023
Max GC Excluding Ambiguous 18s,0.415,0.585,0.83,0.415,0.1735237
Max Invariant Block Length Excluding Ambiguous 18s,1,0,0,1,14.23644
Max Pairwise Difference 18s,0.96,0.075,0.15,0.9425,1.637167
Max Variable Block Length Excluding Ambiguous 18s,0.98,0.065,0.13,0.9575,2.417553
Min GC Excluding Ambiguous 18s,0.35,0.65,0.7,0.35,0.567038
Number Invariable Block Excluding Ambiguous 18s,0,1,0,0,6.957584
Mean GC 18s,0.355,0.645,0.71,0.355,0.2910548
Mean GC 1 18s,0.585,0.415,0.83,0.585,0.1214433
Mean GC 2 18s,0.355,0.645,0.71,0.355,0.3582186
Mean GC 3 18s,0.18,0.82,0.36,0.18,0.9710598
Var GC 18s,0.305,0.695,0.61,0.305,0.2923824
Var GC 1 18s,0.67,0.33,0.66,0.67,0.05572601
Var GC 2 18s,0.33,0.67,0.66,0.33,0.07421383
Var GC 3 18s,0.16,0.84,0.32,0.16,0.6308233
Tajima-D 18s,0.38,0.62,0.76,0.38,0.4736318
Tajima-Pi 18s,0.69,0.31,0.62,0.69,1.029268
Multinomial-Likelihood 18s,1,0,0,1,4.721407
Number Invariant Sites Excluding Ambiguous 28s,1,0,0,1,6.716536
Max GC 28s,0.71,0.29,0.58,0.71,0.5546075
Max GC Excluding Ambiguous 28s,0.525,0.475,0.95,0.525,0.04231619
Max Invariant Block Length Excluding Ambiguous 28s,1,0,0,1,14.43866
Max Pairwise Difference 28s,0,1,0,0,3.777946
Max Variable Block Length Excluding Ambiguous 28s,1,0.005,0.01,0.9975,4.923945
Min GC Excluding Ambiguous 28s,0.495,0.505,0.99,0.495,0.03426562
Number Invariable Block Excluding Ambiguous 28s,0,1,0,0,9.820151
Mean GC 28s,0.55,0.45,0.9,0.55,0.1287419
