specimen	min_ma	max_ma
t156_1	0.210718288272602	2.3079257117274
t219_1	0.19461725	0.58385175
t175_1	0.3038866	0.9116598
t150_1	0.2676461	0.8029383
t151_1	0.13005065	0.39015195
t101_1	0.318098	0.954294
t343_1	0.16225375	0.48676125
t343_2	0.06401665	0.19204995
t258_1	0.0237999	0.0713997
t352_1	0.05238135	0.15714405
t190_1	0.11424365	0.34273095
t372_1	0.49001215	1.47003645
t121_1	0.07738875	0.23216625
t302_1	0.31923155	0.95769465
t209_1	0.47327515	1.41982545
t138_1	0.812048388272602	2.9092558117274
t364_1	0.405902188272602	2.5031096117274
t241_1	0.5200769	1.5602307
t356_1	0.4966137	1.4898411
t356_2	0.3179184	0.9537552
t214_1	0.38036915	1.14110745
t392_1	0.342161488272602	2.4393689117274
t134_1	1.9791430882726	4.0763505117274
t33_1	1.9890387882726	4.0862462117274
t212_1	1.0871911882726	3.1843986117274
t381_1	2.2337209882726	4.3309284117274
t285_1	2.5935579882726	4.6907654117274
t397_1	3.5536972882726	5.6509047117274
t402_1	6.7137541882726	8.8109616117274
t402_2	6.4634287882726	8.5606362117274
t193_1	8.3587731882726	10.4559806117274
t459_1	4.2060625882726	6.3032700117274
t491_1	2.7439426882726	4.8411501117274
t529_1	2.2560637882726	4.3532712117274
t537_1	1.8182250882726	3.9154325117274
t539_1	2.1330058882726	4.2302133117274
t554_1	1.2316954882726	3.3289029117274
t555_1	2.6445892882726	4.7417967117274
t591_1	1.0091265882726	3.1063340117274
t606_1	0.951068288272602	3.0482757117274
t614_1	0.409842188272602	2.5070496117274
t620_1	2.4851371882726	4.5823446117274
t630_1	3.1129063882726	5.2101138117274
t805_1	0.3211425	0.9634275
t811_1	0.119497688272602	2.2167051117274
